id,name,lat,lon,sa2_code,sa2_name,gcc,type
10001,Alphington,-37.7784081,145.0306,206021110,Alphington - Fairfield,Greater Melbourne,metropolitan
10006,Altona North,-37.84455,144.8629,213021343,Altona North,Greater Melbourne,metropolitan
10042,Box Hill,-37.8287277,145.1324,207031163,Box Hill,Greater Melbourne,metropolitan
10007,Brighton,-37.9135475,144.998,208011169,Brighton (Vic.),Greater Melbourne,metropolitan
1112,Brooklyn,-37.8220978,144.8471,213021343,Altona North,Greater Melbourne,metropolitan
10022,Dandenong,-37.98576,145.1987,212041564,Dandenong - South,Greater Melbourne,metropolitan
10107,Geelong South,-38.17356,144.3703,203021039,Geelong,Rest of Vic.,regional
10377,Macleod,-37.722477,145.0576,209021205,Kingsbury,Greater Melbourne,metropolitan
10239,Melbourne CBD,-37.8073959,144.97,206041117,Carlton,Greater Melbourne,metropolitan
10169,Melton,-37.7064552,144.5669,213041578,Melton South - Weir Views,Greater Melbourne,metropolitan
10136,Mooroolbark,-37.7749672,145.3285,211051281,Mooroolbark,Greater Melbourne,metropolitan
10017,Morwell East,-38.229393,146.424454,205041096,Morwell,Rest of Vic.,regional
10217,Morwell South,-38.2392921,146.3873,205041096,Morwell,Rest of Vic.,regional
10005,Point Cook,-37.9263153,144.7567,213051464,Point Cook - East,Greater Melbourne,metropolitan
10011,Traralgon,-38.1942825,146.531464,205041494,Traralgon - West,Rest of Vic.,regional
