station,pollutant,weekday,hour,mean_value,weekday_label
Alphington,CO,0,0,0.25,Mon
Alphington,CO,0,2,0.22,Mon
Alphington,CO,0,3,0.21,Mon
Alphington,CO,0,4,0.2,Mon
Alphington,CO,0,5,0.2,Mon
Alphington,CO,0,6,0.22,Mon
Alphington,CO,0,7,0.27,Mon
Alphington,CO,0,8,0.29,Mon
Alphington,CO,0,9,0.23,Mon
Alphington,CO,0,10,0.19,Mon
Alphington,CO,0,11,0.15,Mon
Alphington,CO,0,12,0.13,Mon
Alphington,CO,0,13,0.12,Mon
Alphington,CO,0,14,0.12,Mon
Alphington,CO,0,15,0.12,Mon
Alphington,CO,0,16,0.13,Mon
Alphington,CO,0,17,0.15,Mon
Alphington,CO,0,18,0.17,Mon
Alphington,CO,0,19,0.17,Mon
Alphington,CO,0,20,0.18,Mon
Alphington,CO,0,21,0.19,Mon
Alphington,CO,0,22,0.2,Mon
Alphington,CO,0,23,0.2,Mon
Alphington,CO,1,0,0.19,Tue
Alphington,CO,1,2,0.18,Tue
Alphington,CO,1,3,0.18,Tue
Alphington,CO,1,4,0.17,Tue
Alphington,CO,1,5,0.17,Tue
Alphington,CO,1,6,0.18,Tue
Alphington,CO,1,7,0.22,Tue
Alphington,CO,1,8,0.23,Tue
Alphington,CO,1,9,0.19,Tue
Alphington,CO,1,10,0.17,Tue
Alphington,CO,1,11,0.14,Tue
Alphington,CO,1,12,0.13,Tue
Alphington,CO,1,13,0.12,Tue
Alphington,CO,1,14,0.12,Tue
Alphington,CO,1,15,0.12,Tue
Alphington,CO,1,16,0.13,Tue
Alphington,CO,1,17,0.17,Tue
Alphington,CO,1,18,0.22,Tue
Alphington,CO,1,19,0.23,Tue
Alphington,CO,1,20,0.26,Tue
Alphington,CO,1,21,0.28,Tue
Alphington,CO,1,22,0.28,Tue
Alphington,CO,1,23,0.27,Tue
Alphington,CO,2,0,0.26,Wed
Alphington,CO,2,2,0.21,Wed
Alphington,CO,2,3,0.2,Wed
Alphington,CO,2,4,0.19,Wed
Alphington,CO,2,5,0.18,Wed
Alphington,CO,2,6,0.2,Wed
Alphington,CO,2,7,0.27,Wed
Alphington,CO,2,8,0.25,Wed
Alphington,CO,2,9,0.22,Wed
Alphington,CO,2,10,0.17,Wed
Alphington,CO,2,11,0.15,Wed
Alphington,CO,2,12,0.14,Wed
Alphington,CO,2,13,0.13,Wed
Alphington,CO,2,14,0.13,Wed
Alphington,CO,2,15,0.14,Wed
Alphington,CO,2,16,0.15,Wed
Alphington,CO,2,17,0.17,Wed
Alphington,CO,2,18,0.21,Wed
Alphington,CO,2,19,0.22,Wed
Alphington,CO,2,20,0.24,Wed
Alphington,CO,2,21,0.24,Wed
Alphington,CO,2,22,0.26,Wed
Alphington,CO,2,23,0.23,Wed
Alphington,CO,3,0,0.22,Thu
Alphington,CO,3,2,0.19,Thu
Alphington,CO,3,3,0.18,Thu
Alphington,CO,3,4,0.17,Thu
Alphington,CO,3,5,0.17,Thu
Alphington,CO,3,6,0.19,Thu
Alphington,CO,3,7,0.22,Thu
